Customer_ID,Order_ID,Order_Date,Product_Category,Product_Sub_Category,Quantity,Price,Discount,Customer_Location,Revenue,Order_Day,Order_Month,Order_Year,Order_Month_Period,Segment
CUST_013738,ORD_00102406,2023-01-01,Home & Garden,Gardening Tools,1,419.19,0.0,TN,419.19,Sunday,January,2023,2023-01,Gold
CUST_011726,ORD_00102902,2023-01-01,Electronics,Laptops,1,222.37,0.09,TN,202.3567,Sunday,January,2023,2023-01,Silver
CUST_010891,ORD_00103864,2023-01-01,Electronics,Laptops,6,1107.65,0.0,IN,6645.9,Sunday,January,2023,2023-01,Diamond
CUST_011452,ORD_00103560,2023-01-01,Electronics,Gaming Consoles,5,288.84,0.0,MA,1444.2,Sunday,January,2023,2023-01,Gold
CUST_010886,ORD_00100632,2023-01-02,Electronics,Headphones,1,191.27,0.0,AZ,191.27,Monday,January,2023,2023-01,Gold
CUST_010410,ORD_00103733,2023-01-02,Clothing,Shoes,4,200.47,0.37,MI,505.1844,Monday,January,2023,2023-01,Diamond
CUST_011600,ORD_00103814,2023-01-02,Beauty,Personal Care,5,115.09,0.08,MI,529.414,Monday,January,2023,2023-01,Gold
CUST_012368,ORD_00104082,2023-01-02,Clothing,Shoes,1,118.51,0.0,IN,118.51,Monday,January,2023,2023-01,Silver
CUST_014778,ORD_00102022,2023-01-02,Books,Non-Fiction,2,30.23,0.0,TX,60.46,Monday,January,2023,2023-01,Silver
CUST_010262,ORD_00104782,2023-01-02,Home & Garden,Furniture,1,285.41,0.0,LA,285.41,Monday,January,2023,2023-01,Diamond
CUST_011456,ORD_00100626,2023-01-02,Beauty,Personal Care,1,27.53,0.0,LA,27.53,Monday,January,2023,2023-01,Silver
CUST_011615,ORD_00103622,2023-01-03,Beauty,Skincare,1,16.59,0.0,KY,16.59,Tuesday,January,2023,2023-01,Silver
CUST_014005,ORD_00101482,2023-01-03,Electronics,Smart Watches,4,1417.28,0.0,OK,5669.12,Tuesday,January,2023,2023-01,Diamond
CUST_013862,ORD_00103766,2023-01-03,Sports,Water Sports,1,262.59,0.27,MD,191.6907,Tuesday,January,2023,2023-01,Gold
CUST_014608,ORD_00103883,2023-01-04,Sports,Winter Sports,1,204.56,0.0,MN,204.56,Wednesday,January,2023,2023-01,Diamond
CUST_013835,ORD_00103674,2023-01-04,Electronics,Tablets,3,1884.25,0.41,TX,3335.1225,Wednesday,January,2023,2023-01,Diamond
CUST_010934,ORD_00104963,2023-01-04,Home & Garden,Bedding,2,799.61,0.29,CO,1135.4462,Wednesday,January,2023,2023-01,Gold
CUST_013629,ORD_00104506,2023-01-04,Clothing,Accessories,1,29.9,0.0,GA,29.9,Wednesday,January,2023,2023-01,Silver
CUST_011705,ORD_00104918,2023-01-05,Clothing,Mens Shirts,5,84.81,0.0,IN,424.05,Thursday,January,2023,2023-01,Gold
CUST_010104,ORD_00102567,2023-01-05,Home & Garden,Gardening Tools,7,314.05,0.0,KY,2198.35,Thursday,January,2023,2023-01,Gold
